ㄱㄱㅈㅇㅊㅇㄱㅈ,관계자외출입금지
ㄱㄴㄱ,격납고
ㄱㄹㄱㅇ,구름공원
ㄱㄹㅍㅇㅅ,그리프의숲
ㄱㅁㄱㄱㅈ,개미굴광장
ㄱㅅㄱㅇㅇ,궁수교육원
ㄲㅁㄱㅇㅅ,까마귀의숲
ㄲㄱㅇㄱㅇㅅ,끈기의깊은숲
ㄴㄷㅇㄱㄹㅅ,눈덮인고래섬
ㄴㄷㅇㅇㅇ,늑대의영역
ㄴㅇㄹㅂㅇ,니오라병원
ㄴㅇㅈ,남의집
ㄴㅇㅈㄹㅅㅌ,
ㄴㅍㅇㅈ,노파의집
ㄷㄱㄱ,달고개
ㄷㄱㄹㄱ,두갈래길
ㄷㄱㄹㅇㅇㅇㅈㅅ,두그루의야자수
ㄷㄲㅂㅅㅁㄹ,도깨비산마루
ㄷㄲㅂㅈ,도깨비집
ㄷㄷㅇㅇㅈㅌ,도둑의아지트
ㄷㄹㅈㄱ,도라지골
ㄷㄹㅇㅋㅇㅂㅅ,드레이크의밥상
ㄷㅈㅇㄱㅇ,돼지의공원
ㄷㅉㅂㅇㅅ,동쪽바위산
ㄸㄷㄹㅇㄱ,또다른입구
ㄸㄷㅇㄱㅇㅇㅌ,떠돌이곰의영토
ㄸㄸㅎㅁㄹㅂ,따뜻한모래밭
ㄹㄹㅇㅈ,로로의집
ㄹㄹㅇㅋㄹ,로랑앤클랑
ㄹㅅㅇㅊㅇ,로스웰초원
ㄹㅅㅎㄱ,리스항구
ㄹㅍㄹ,리프레
ㄹㅍㄹㅁㅍㅅ,
ㅁㄱㅈㄷㅈ,망가진둥지
ㅁㄱㅌㅇ,마가티아
ㅁㄴㅇㅅ,마뇽의숲
ㅁㄴㅇㅇㄷ,만남의언덕
ㅁㄹ,무릉
ㅁㄹㅇㅅ,마르의숲
ㅁㅁㄹㅅㅁ,메마른사막
ㅁㅂㄷㅅㄱ,마법도서관
ㅁㅅㅁㅇㅁㄷ,머쉬맘의무덤
ㅁㅇㅅㅇㅈ,매이션의집
ㅁㅋㅌㅇㅇㅊㅇ,메카티안의초원
ㅂㅁㅇㅂ,비밀의방
ㅂㅅㅁㅇㅅㅉㅇㄱ,버섯마을서쪽입구
ㅂㅅㅅㅅ,버섯신사
ㅂㅅㅇㅈㄷ,버섯의전당
ㅂㅊㅁㅇ,백초마을
ㅃㄱㅋㅎㅈㄷㅅㄱ,빨간코해적단소굴
ㅃㅂㅅㅅㅂㅍㅈㅍ,뿔버섯수배표지판
ㅅㄱㅈㅂㅈㅇㅇㄹㄱㄴㄱ,세가지빛정원으로가는길
ㅅㄹㅅ,사령실
ㅅㄹㅍㅇㄷ,슬리피우드
ㅅㅁㅇㄷㄱㅇㄱ,생명의동굴입구
ㅅㅁㅈ,서문정
ㅅㅇㄱㄹㄱ,숲의갈림길
ㅅㅇㅅㅍㄹ,사우스페리
ㅅㅇㅇㄱㅉㄱ,설인의골짜기
ㅅㅇㅎㄱㅇㅇㅅ,사악한기운의숲
ㅅㅈㄱㄹㄱ,서주갈림길
ㅅㅈㅇㅅ,사제의숲
ㅅㅈㅇㅇㄱ,신전의입구
ㅅㅍㄱㅁㅇㅅㅁㅅ,슈피겔만의사무실
ㅅㅎㅇㅇㅌ,상해와이탄
ㅇㄱ,원공
ㅇㄱㅅㅈㅇㄱㅇㅌ,연구소중앙게이트
ㅇㄱㅇㅅ,요괴의숲
ㅇㄴㅅ,엘나스
ㅇㄴㅇㅅ,인내의숲
ㅇㄷㅅ,옹달샘
ㅇㄹㄴㅇ,
ㅇㄹㅁㅇ,아랫마을
ㅇㄹㅂㅅㄱㅇ,오르비스공원
ㅇㄹㅂㅅㅌ,오르비스탑
ㅇㄹㅇㅌ,아리안트
ㅇㅂㅇㅇㅇㄱ,이블아이의굴
ㅇㅅㅇㄴㅌ,알수없는탑
ㅇㅅㅇㅌ,여신의탑
ㅇㅅㅈ,야시장
ㅇㅅㅈㄱㄹ,야시장거리
ㅇㅇㄷㅂㅇㅇㄸ,와일드보어의땅
ㅇㅇㄱㅉㄱ,얼음골짜기
ㅇㅇㅂ,왕의방
ㅇㅇㅂㅇㅎㄱ,와이번의협곡
ㅇㅇㅅㅌ,에오스탑
ㅇㅇㅇㅂㅇㅇㄸ,아이언보어의땅
ㅇㅇㅇㅈㄷ,영웅의전당
ㅇㅈㅂㄱㄷㅋㅍ,유적발굴단캠프
ㅇㅋㄴㅈ,야쿠네집
ㅇㅋㄷㄴㅎㅎ,알카드노협회
ㅇㅋㅇㄹㅇ,아쿠아리움
ㅇㅌㄴㄷㅈㄴㅈ,유타네돼지농장
ㅇㅌㄴㅈ,이토네집
ㅇㅎㅅㅌ,암허스트
ㅇㅎㅈㅅㄱㅇㄱ,잊혀진시간의길
ㅈㄱㅂㅇㅂㅂ,지구방위본부
ㅈㄴㅁㅅㅌㅎㅎ,제뉴미스트협회
ㅈㄹㅋㄱㅍㅇㅇㅈ,지로큰과페이의집
ㅈㅅㅇㅅㅈ,전사의성전
ㅈㅇㄴㅍㅅ,작은난파선
ㅈㅇㅅㅈ,자유시장
ㅈㅇㅎㄴㅅㅁ,작열하는사막
ㅈㅈㅂㅇㅅㅈ,저주받은신전
ㅈㅋㅇㄹㅌㅎㄴㅁ,자쿰으로통하는문
ㅈㅎㅊㅁㅍㅅ,지하철매표소
ㅊㄷㄱㅅㅇ,천도과수원
ㅊㄷㅊㅂㅍ,차디찬벌판
ㅋㄴㅅㅌ,커닝시티
ㅋㄴㅅㅌㅁㅇㄱ,커닝시티명약국
ㅋㄹㅇㄹㄹ,클랑앤로랑
ㅋㄹㅇㅇㅈ,클로이의집
ㅋㄹㅇㅈ,코린의집
ㅋㄹㅌㅇㄷㄱ,카르타의동굴
ㅋㅁㄴㅈ,쿠모네집
ㅋㅎㅇㅈ,카호의집
ㅌㄱㅇㄴㄹㅂ,태공의나룻배
ㅍㄹㄹㄴㅂㅊ,플로리나비치
ㅍㄹㅇ,페리온
ㅍㄹㅇㄷㅈㅇㄱ,페리온던전입구
ㅍㄹㅌㅁㅋ,
ㅍㄹㅌㅇㅇㅊㅇ,플라티안의초원
ㅍㅅㅊㄹ,펫산책로
ㅍㅇㄴㅅㅇㄷㄱ,피아누스의동굴
ㅍㅇㅈ,팜의집
ㅍㅊㅇㅈ,푸치의집
ㅎㄴㄱㄷ,하늘계단
ㅎㄴㅅㅅ,헤네시스
ㅎㄴㅅㅅㄱㅇ,헤네시스공원
ㅎㄴㅅㅅㄱㅇㄱㅇ,헤네시스게임공원
ㅎㄴㅅㅅㄷㅈㅇㄱ,헤네시스던전입구
ㅎㄴㅅㅅㅁㄱ,헤네시스민가
ㅎㄹㅇㅅㅌㄷㅅㄱ,핼리오스탑도서관
