"Question,Answer
What is the first letter of the Korean alphabet?,ㄱ
What is the second letter of the Korean alphabet?,ㄲ
What is the third letter of the Korean alphabet?,ㄴ
What is the fourth letter of the Korean alphabet?,ㄷ
What is the fifth letter of the Korean alphabet?,ㄸ
What is the sixth letter of the Korean alphabet?,ㄹ
What is the seventh letter of the Korean alphabet?,ㅁ
What is the eighth letter of the Korean alphabet?,ㅂ
What is the ninth letter of the Korean alphabet?,ㅃ
What is the tenth letter of the Korean alphabet?,ㅅ
What is the eleventh letter of the Korean alphabet?,ㅆ
What is the twelfth letter of the Korean alphabet?,ㅇ
What is the thirteenth letter of the Korean alphabet?,ㅈ
What is the fourteenth letter of the Korean alphabet?,ㅉ
What is the fifteenth letter of the Korean alphabet?,ㅊ
What is the sixteenth letter of the Korean alphabet?,ㅋ
What is the seventeenth letter of the Korean alphabet?,ㅌ
What is the eighteenth letter of the Korean alphabet?,ㅍ
What is the nineteenth letter of the Korean alphabet?,ㅎ"
